connection_month,live_connections,current_month_cumulative_live_connections,current_month_cumulative_live_connections_derived,previous_month_cumulative_live_connections,new_connections,new_connections_corrected,reconnections,reconnections_corrected,cancelled_connections,order_count
null,326,326,324,null,434,324,0,0,null,5251
2011-11-01T00:00:00.000+0000,0,326,326,326,1,0,0,0,null,1
2011-12-01T00:00:00.000+0000,1,327,327,326,1,1,0,0,null,1
2012-05-01T00:00:00.000+0000,0,327,327,327,1,0,0,0,null,1
2012-07-01T00:00:00.000+0000,1,328,328,327,1,1,0,0,null,1
2012-12-01T00:00:00.000+0000,3,331,331,328,3,3,0,0,null,3
2013-01-01T00:00:00.000+0000,17,348,348,331,24,17,0,0,null,24
2013-02-01T00:00:00.000+0000,6,354,354,348,7,6,0,0,null,7
2013-03-01T00:00:00.000+0000,15,369,369,354,22,15,0,0,null,22
2013-04-01T00:00:00.000+0000,20,389,389,369,26,20,0,0,null,26
2013-05-01T00:00:00.000+0000,20,409,409,389,28,20,0,0,null,28
2013-06-01T00:00:00.000+0000,27,436,435,409,42,26,0,0,null,43
2013-07-01T00:00:00.000+0000,14,450,450,436,20,14,0,0,null,20
2013-08-01T00:00:00.000+0000,14,464,464,450,16,14,0,0,null,16
2013-09-01T00:00:00.000+0000,21,485,485,464,25,21,0,0,null,25
2013-10-01T00:00:00.000+0000,23,508,508,485,27,23,0,0,null,27
2013-11-01T00:00:00.000+0000,19,527,525,508,28,17,0,0,null,28
2013-12-01T00:00:00.000+0000,5,532,532,527,7,5,0,0,null,8
2014-01-01T00:00:00.000+0000,5,537,537,532,9,5,0,0,null,10
2014-02-01T00:00:00.000+0000,4,541,541,537,10,4,0,0,null,10
2014-03-01T00:00:00.000+0000,8,549,549,541,14,8,0,0,null,14
2014-04-01T00:00:00.000+0000,12,561,561,549,18,12,0,0,null,18
2014-05-01T00:00:00.000+0000,8,569,569,561,11,8,0,0,null,11
2014-06-01T00:00:00.000+0000,7,576,576,569,11,7,0,0,null,11
2014-07-01T00:00:00.000+0000,3,579,579,576,4,3,0,0,null,4
2014-08-01T00:00:00.000+0000,4,583,583,579,6,4,0,0,null,6
2014-09-01T00:00:00.000+0000,8,591,591,583,9,8,0,0,null,9
2014-10-01T00:00:00.000+0000,5,596,596,591,7,5,0,0,null,7
2014-11-01T00:00:00.000+0000,10,606,605,596,11,9,0,0,null,11
2014-12-01T00:00:00.000+0000,2,608,608,606,5,2,0,0,null,5
2015-01-01T00:00:00.000+0000,5,613,613,608,9,5,0,0,null,9
2015-02-01T00:00:00.000+0000,5,618,618,613,9,5,0,0,null,9
2015-03-01T00:00:00.000+0000,9,627,627,618,14,9,0,0,null,14
2015-04-01T00:00:00.000+0000,6,633,633,627,8,6,0,0,null,8
2015-05-01T00:00:00.000+0000,3,636,636,633,9,3,0,0,null,9
2015-06-01T00:00:00.000+0000,2,638,638,636,4,2,0,0,null,4
2015-07-01T00:00:00.000+0000,4,642,642,638,6,4,0,0,null,6
2015-08-01T00:00:00.000+0000,3,645,645,642,3,3,0,0,null,3
2015-09-01T00:00:00.000+0000,16,661,660,645,21,15,0,0,null,22
2015-10-01T00:00:00.000+0000,7,668,667,661,10,6,0,0,null,10
2015-11-01T00:00:00.000+0000,3,671,671,668,5,3,0,0,null,5
2015-12-01T00:00:00.000+0000,6,677,677,671,8,6,0,0,null,8
2016-01-01T00:00:00.000+0000,10,687,687,677,13,10,0,0,null,13
2016-02-01T00:00:00.000+0000,15,702,701,687,17,14,0,0,null,17
2016-03-01T00:00:00.000+0000,8,710,710,702,12,8,0,0,null,12
2016-04-01T00:00:00.000+0000,6,716,716,710,7,6,0,0,null,7
2016-05-01T00:00:00.000+0000,6,722,722,716,7,6,0,0,null,7
2016-06-01T00:00:00.000+0000,5,727,726,722,9,4,0,0,null,10
2016-07-01T00:00:00.000+0000,4,731,731,727,6,4,0,0,null,6
2016-08-01T00:00:00.000+0000,7,738,738,731,8,7,0,0,null,8
2016-09-01T00:00:00.000+0000,23,761,760,738,29,22,0,0,null,30
2016-10-01T00:00:00.000+0000,13,774,774,761,20,13,0,0,null,20
2016-11-01T00:00:00.000+0000,8,782,782,774,13,8,0,0,null,13
